"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"62","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"63","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"64","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-05,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"65","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"66","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"67","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-05,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
"68","Prison","OLYMPIC CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002455,1317,392,"HIFLD Prison Dataset"
"69","Prison","STAFFORD CREEK CORRECTIONS CENTER","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001681,1318,1979,"HIFLD Prison Dataset"
"70","Prison","WASHINGTON CORRECTIONS CENTER","Washington",2020-04-05,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001679,1319,1924,"HIFLD Prison Dataset"
"71","Prison","WASHINGTON CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001684,1320,987,"HIFLD Prison Dataset"
"72","Prison","WASHINGTON STATE PENITENTIARY","Washington",2020-04-05,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002506,1321,2593,"HIFLD Prison Dataset"
"73","Prison","AIRWAY HEIGHTS CORRECTIONS CENTER","Washington",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001677,1310,2195,"HIFLD Prison Dataset"
"74","Prison","CEDAR CREEK CORRECTIONS CENTER","Washington",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002491,1311,475,"HIFLD Prison Dataset"
"75","Prison","CLALLAM BAY CORRECTIONS CENTER","Washington",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000987,1312,874,"HIFLD Prison Dataset"
"76","Prison","COYOTE RIDGE CORRECTIONS CENTER","Washington",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001687,1313,2563,"HIFLD Prison Dataset"
"77","Prison","LARCH CORRECTIONS CENTER","Washington",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001690,1314,473,"HIFLD Prison Dataset"
"78","Prison","MISSION CREEK CORRECTIONS CENTER FOR WOMEN","Washington",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10002479,1315,317,"HIFLD Prison Dataset"
"79","Prison","MONROE CORRECTIONAL COMPLEX","Washington",2020-04-06,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001676,1316,2499,"HIFLD Prison Dataset"
